"Reservoir","Site","Date","WaterLevel_m"
"BVR",50,2021-04-13,11.2025855915972
"BVR",50,2021-04-14,11.1980318101389
"BVR",50,2021-04-15,11.1999071096528
"BVR",50,2021-04-16,11.1909770015972
"BVR",50,2021-04-17,11.1845465444444
"BVR",50,2021-04-18,11.1794239658333
"BVR",50,2021-04-19,11.1836570972222
"BVR",50,2021-04-20,11.179407234375
"BVR",50,2021-04-21,11.1730875959722
"BVR",50,2021-04-22,11.1660227920139
"BVR",50,2021-04-23,11.1591776699306
"BVR",50,2021-04-24,11.163435645
"BVR",50,2021-04-25,11.1793041656944
"BVR",50,2021-04-26,11.17340281375
"BVR",50,2021-04-27,11.1675160203472
"BVR",50,2021-04-28,11.1629075538194
"BVR",50,2021-04-29,11.1580917910417
"BVR",50,2021-04-30,11.1490055227083
"BVR",50,2021-05-01,11.1378973554167
"BVR",50,2021-05-02,11.1314395195139
"BVR",50,2021-05-03,11.1378617658156
"BVR",50,2021-05-04,11.1557419265278
"BVR",50,2021-05-05,11.1767199883333
"BVR",50,2021-05-06,11.1688651843056
"BVR",50,2021-05-07,11.1639109343056
"BVR",50,2021-05-08,11.157474248125
"BVR",50,2021-05-09,11.1490592661806
"BVR",50,2021-05-10,11.1419160923611
"BVR",50,2021-05-11,11.1338433447917
"BVR",50,2021-05-12,11.12564254
"BVR",50,2021-05-13,11.1186401711806
"BVR",50,2021-05-14,11.1101765513475
"BVR",50,2021-05-15,11.1029933604167
"BVR",50,2021-05-16,11.1018315743056
"BVR",50,2021-05-17,11.1014840525
"BVR",50,2021-05-18,11.0985094744444
"BVR",50,2021-05-19,11.0941094630556
"BVR",50,2021-05-20,11.0882355622917
"BVR",50,2021-05-21,11.081399131875
"BVR",50,2021-05-22,11.0779601290972
"BVR",50,2021-05-23,11.0752204433333
"BVR",50,2021-05-24,11.0706824517361
"BVR",50,2021-05-25,11.0671145225694
"BVR",50,2021-05-26,11.0638047359028
"BVR",50,2021-05-27,11.0572969953472
"BVR",50,2021-05-28,11.0602694729167
"BVR",50,2021-05-29,11.0746296272917
"BVR",50,2021-05-30,11.0851016370139
"BVR",50,2021-05-31,11.0806499785
"BVR",50,2021-06-01,11.0763164625
"BVR",50,2021-06-02,11.0708018172917
"BVR",50,2021-06-03,11.0800525029861
"BVR",50,2021-06-04,11.0958083217361
"BVR",50,2021-06-05,11.0872674554861
"BVR",50,2021-06-06,11.0794386540278
"BVR",50,2021-06-07,11.0766533370139
"BVR",50,2021-06-08,11.0880786777083
"BVR",50,2021-06-09,11.1109113238889
"BVR",50,2021-06-10,11.1267671692361
"BVR",50,2021-06-11,11.1467762550694
"BVR",50,2021-06-12,11.1987870435417
"BVR",50,2021-06-13,11.1971739426389
"BVR",50,2021-06-14,11.2106791267361
"BVR",50,2021-06-15,11.199037798125
"BVR",50,2021-06-16,11.1837088850694
"BVR",50,2021-06-17,11.1673383481944
"BVR",50,2021-06-18,11.1540177895833
"BVR",50,2021-06-19,11.1420020674306
"BVR",50,2021-06-20,11.1321004483333
"BVR",50,2021-06-21,11.122954859375
"BVR",50,2021-06-22,11.1231819291667
"BVR",50,2021-06-23,11.1188027777778
"BVR",50,2021-06-24,11.1071815124306
"BVR",50,2021-06-25,11.0971423477083
"BVR",50,2021-06-26,11.0875815868056
"BVR",50,2021-06-27,11.0863760526389
"BVR",50,2021-06-28,11.1056256071831
"BVR",50,2021-06-29,11.1023002724306
"BVR",50,2021-06-30,11.0926389054861
"BVR",50,2021-07-01,11.090129041875
"BVR",50,2021-07-02,11.1016121821528
"BVR",50,2021-07-03,11.0896160886806
"BVR",50,2021-07-04,11.0757344829861
"BVR",50,2021-07-05,11.0629658452083
"BVR",50,2021-07-06,11.0508329304167
"BVR",50,2021-07-07,11.0399287275694
"BVR",50,2021-07-08,11.0358339385417
"BVR",50,2021-07-09,11.0306784764583
"BVR",50,2021-07-10,11.0195778419444
"BVR",50,2021-07-11,11.0114637365278
"BVR",50,2021-07-12,11.008207147
"BVR",50,2021-07-13,11.0083077923611
"BVR",50,2021-07-14,11.0030000088194
