"DateTime","Depth","period","type","var","value","scenario"
2015-10-22,"0.1","calib","mod","wl",10.9393440689981,"baseline"
2015-10-22,"0.1","calib","obs","wl",11.3,"baseline"
2015-10-23,"0.1","calib","mod","wl",10.9481590882936,"baseline"
2015-10-23,"0.1","calib","obs","wl",11.3142857142857,"baseline"
2015-10-23,"0.1","calib","mod","nh4",35.2569041914503,"baseline"
2015-10-23,"0.1","calib","obs","nh4",1.99999999999999,"baseline"
2015-10-23,"0.1","calib","mod","no3",5.40979192023828,"baseline"
2015-10-23,"0.1","calib","obs","no3",2,"baseline"
2015-10-23,"0.1","calib","mod","po4",2.74530314013538,"baseline"
2015-10-23,"0.1","calib","obs","po4",11,"baseline"
2015-10-23,"0.1","calib","mod","chla",2.11984106670066,"baseline"
2015-10-23,"0.1","calib","obs","chla",1.477,"baseline"
2015-10-23,"0.1","calib","obs","din",3.99999999999999,"baseline"
2015-10-23,"0.1","calib","mod","din",40.6666961116886,"baseline"
2015-10-24,"0.1","calib","mod","wl",10.9552696336983,"baseline"
2015-10-24,"0.1","calib","obs","wl",11.3285714285714,"baseline"
2015-10-25,"0.1","calib","mod","wl",10.9599496115413,"baseline"
2015-10-25,"0.1","calib","obs","wl",11.3428571428571,"baseline"
2015-10-26,"0.1","calib","mod","wl",10.9631708860172,"baseline"
2015-10-26,"0.1","calib","obs","wl",11.3571428571429,"baseline"
2015-10-27,"0.1","calib","mod","wl",10.9646756455937,"baseline"
2015-10-27,"0.1","calib","obs","wl",11.3714285714286,"baseline"
2015-10-28,"0.1","calib","mod","wl",10.9905104706828,"baseline"
2015-10-28,"0.1","calib","obs","wl",11.3857142857143,"baseline"
2015-10-29,"0.1","calib","mod","wl",11.0399517280503,"baseline"
2015-10-29,"0.1","calib","obs","wl",11.4,"baseline"
2015-10-30,"0.1","calib","mod","wl",11.0208574670742,"baseline"
2015-10-30,"0.1","calib","obs","wl",11.3833333333333,"baseline"
2015-10-31,"0.1","calib","mod","wl",11.0022165763994,"baseline"
2015-10-31,"0.1","calib","obs","wl",11.3666666666667,"baseline"
2015-11-01,"0.1","calib","mod","wl",10.9856692123787,"baseline"
2015-11-01,"0.1","calib","obs","wl",11.35,"baseline"
2015-11-02,"0.1","calib","mod","wl",10.9711147180018,"baseline"
2015-11-02,"0.1","calib","obs","wl",11.3333333333333,"baseline"
2015-11-03,"0.1","calib","mod","wl",10.9580094142555,"baseline"
2015-11-03,"0.1","calib","obs","wl",11.3166666666667,"baseline"
2015-11-04,"0.1","calib","mod","wl",10.9445479109483,"baseline"
2015-11-04,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-05,"0.1","calib","mod","wl",10.93143403403,"baseline"
2015-11-05,"0.1","calib","obs","wl",11.2833333333333,"baseline"
2015-11-06,"0.1","calib","mod","wl",10.9186264893263,"baseline"
2015-11-06,"0.1","calib","obs","wl",11.2666666666667,"baseline"
2015-11-07,"0.1","calib","mod","wl",10.9062162646082,"baseline"
2015-11-07,"0.1","calib","obs","wl",11.25,"baseline"
2015-11-08,"0.1","calib","mod","wl",10.895986042361,"baseline"
2015-11-08,"0.1","calib","obs","wl",11.2333333333333,"baseline"
2015-11-09,"0.1","calib","mod","wl",10.8809989074918,"baseline"
2015-11-09,"0.1","calib","obs","wl",11.2166666666667,"baseline"
2015-11-10,"0.1","calib","mod","wl",10.8902995094735,"baseline"
2015-11-10,"0.1","calib","obs","wl",11.2,"baseline"
2015-11-11,"0.1","calib","mod","wl",10.9065079844551,"baseline"
2015-11-11,"0.1","calib","obs","wl",11.2142857142857,"baseline"
2015-11-12,"0.1","calib","mod","wl",10.9110220526288,"baseline"
2015-11-12,"0.1","calib","obs","wl",11.2285714285714,"baseline"
2015-11-13,"0.1","calib","mod","wl",10.9179144177138,"baseline"
2015-11-13,"0.1","calib","obs","wl",11.2428571428571,"baseline"
2015-11-14,"0.1","calib","mod","wl",10.9236789294767,"baseline"
2015-11-14,"0.1","calib","obs","wl",11.2571428571429,"baseline"
2015-11-15,"0.1","calib","mod","wl",10.9303356964735,"baseline"
2015-11-15,"0.1","calib","obs","wl",11.2714285714286,"baseline"
2015-11-16,"0.1","calib","mod","wl",10.9380116572154,"baseline"
2015-11-16,"0.1","calib","obs","wl",11.2857142857143,"baseline"
2015-11-17,"0.1","calib","mod","wl",10.9464629443576,"baseline"
2015-11-17,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-18,"0.1","calib","mod","wl",10.9453691134711,"baseline"
2015-11-18,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-19,"0.1","calib","mod","wl",10.9451183951994,"baseline"
2015-11-19,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-20,"0.1","calib","mod","wl",10.9749690612935,"baseline"
2015-11-20,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-21,"0.1","calib","mod","wl",10.9680647696794,"baseline"
2015-11-21,"0.1","calib","obs","wl",11.3,"baseline"
2015-11-22,"0.1","calib","mod","wl",10.9635340854587,"baseline"
2015-11-22,"0.1","calib","obs","wl",11.3,"baseline"
