"DateTime","Depth","var","value","scenario"
2020-03-26,"0.1","temp",12.3097020021983,"baseline"
2020-03-26,"0.1","oxy",10.9426502705394,"baseline"
2020-03-26,"0.1","nh4",40.307908515454,"baseline"
2020-03-26,"0.1","no3",3.88771702186571,"baseline"
2020-03-26,"0.1","po4",3.98527660181664,"baseline"
2020-03-26,"0.1","chla",0.231272310558859,"baseline"
2020-03-26,"0.1","din",44.1956255373197,"baseline"
2020-03-27,"0.1","wl",11.0471032628438,"baseline"
2020-03-27,"0.1","temp",11.8086447523524,"baseline"
2020-03-27,"0.1","oxy",10.8866504869068,"baseline"
2020-03-27,"0.1","nh4",36.5059153298068,"baseline"
2020-03-27,"0.1","no3",3.70438325160208,"baseline"
2020-03-27,"0.1","po4",4.11603986186952,"baseline"
2020-03-27,"0.1","chla",0.216724656709711,"baseline"
2020-03-27,"0.1","din",40.2102985814089,"baseline"
2020-03-28,"0.1","wl",11.0662261645194,"baseline"
2020-03-28,"0.1","temp",14.0490241289135,"baseline"
2020-03-28,"0.1","oxy",10.8678553179345,"baseline"
2020-03-28,"0.1","nh4",41.4490972679985,"baseline"
2020-03-28,"0.1","no3",3.63299299523593,"baseline"
2020-03-28,"0.1","po4",4.27141953994576,"baseline"
2020-03-28,"0.1","chla",0.236550643687355,"baseline"
2020-03-28,"0.1","din",45.0820902632344,"baseline"
2020-03-29,"0.1","wl",11.086111046798,"baseline"
2020-03-29,"0.1","temp",14.9760570469738,"baseline"
2020-03-29,"0.1","oxy",10.7817009710253,"baseline"
2020-03-29,"0.1","nh4",41.6656868007844,"baseline"
2020-03-29,"0.1","no3",3.59836814241406,"baseline"
2020-03-29,"0.1","po4",4.24453858164612,"baseline"
2020-03-29,"0.1","chla",0.257785793460253,"baseline"
2020-03-29,"0.1","din",45.2640549431985,"baseline"
2020-03-30,"0.1","wl",11.1056753798392,"baseline"
2020-03-30,"0.1","temp",15.4951287516859,"baseline"
2020-03-30,"0.1","oxy",10.4854197292167,"baseline"
2020-03-30,"0.1","nh4",37.7941070134974,"baseline"
2020-03-30,"0.1","no3",4.31780185758425,"baseline"
2020-03-30,"0.1","po4",5.08278990441861,"baseline"
2020-03-30,"0.1","chla",0.273468760204249,"baseline"
2020-03-30,"0.1","din",42.1119088710817,"baseline"
2020-03-31,"0.1","wl",11.1233075337279,"baseline"
2020-03-31,"0.1","temp",15.0225965232671,"baseline"
2020-03-31,"0.1","oxy",10.3376259354972,"baseline"
2020-03-31,"0.1","nh4",33.0984307711722,"baseline"
2020-03-31,"0.1","no3",3.78708921408744,"baseline"
2020-03-31,"0.1","po4",5.42736503422839,"baseline"
2020-03-31,"0.1","chla",0.291323248934197,"baseline"
2020-03-31,"0.1","din",36.8855199852596,"baseline"
2020-04-01,"0.1","wl",11.1555330570056,"baseline"
2020-04-01,"0.1","temp",13.6775698508557,"baseline"
2020-04-01,"0.1","oxy",10.3321895448063,"baseline"
2020-04-01,"0.1","nh4",33.1323344204731,"baseline"
2020-04-01,"0.1","no3",3.69364203667304,"baseline"
2020-04-01,"0.1","po4",5.25943031558575,"baseline"
2020-04-01,"0.1","chla",0.283458382448091,"baseline"
2020-04-01,"0.1","din",36.8259764571461,"baseline"
2020-04-02,"0.1","wl",11.1754238814535,"baseline"
2020-04-02,"0.1","temp",12.258549672389,"baseline"
2020-04-02,"0.1","oxy",10.4482009335108,"baseline"
2020-04-02,"0.1","nh4",28.7650056573949,"baseline"
2020-04-02,"0.1","no3",3.86909094431901,"baseline"
2020-04-02,"0.1","po4",5.62485052116728,"baseline"
2020-04-02,"0.1","chla",0.22338840066044,"baseline"
2020-04-02,"0.1","din",32.6340966017139,"baseline"
2020-04-03,"0.1","wl",11.1607819000499,"baseline"
2020-04-03,"0.1","temp",11.3872486415697,"baseline"
2020-04-03,"0.1","oxy",10.5839979224885,"baseline"
2020-04-03,"0.1","nh4",27.1752211315778,"baseline"
2020-04-03,"0.1","no3",4.02653267995807,"baseline"
2020-04-03,"0.1","po4",5.94253589083061,"baseline"
2020-04-03,"0.1","chla",0.187548418177557,"baseline"
2020-04-03,"0.1","din",31.2017538115359,"baseline"
2020-04-04,"0.1","wl",11.1466631184853,"baseline"
2020-04-04,"0.1","temp",11.4652770978661,"baseline"
2020-04-04,"0.1","oxy",10.660541289144,"baseline"
2020-04-04,"0.1","nh4",27.9204466543087,"baseline"
2020-04-04,"0.1","no3",4.00700209195117,"baseline"
2020-04-04,"0.1","po4",5.83064210929425,"baseline"
2020-04-04,"0.1","chla",0.204592890762418,"baseline"
2020-04-04,"0.1","din",31.9274487462598,"baseline"
2020-04-05,"0.1","wl",11.1337728574851,"baseline"
2020-04-05,"0.1","temp",12.1960626714266,"baseline"
2020-04-05,"0.1","oxy",10.7339028419328,"baseline"
2020-04-05,"0.1","nh4",29.4967530982177,"baseline"
2020-04-05,"0.1","no3",3.94559990190292,"baseline"
2020-04-05,"0.1","po4",5.78012980261943,"baseline"
2020-04-05,"0.1","chla",0.221735178410408,"baseline"
2020-04-05,"0.1","din",33.4423530001206,"baseline"
2020-04-06,"0.1","wl",11.122304275404,"baseline"
2020-04-06,"0.1","temp",13.1853424103596,"baseline"
2020-04-06,"0.1","oxy",10.8041620993425,"baseline"
2020-04-06,"0.1","nh4",31.7924981936708,"baseline"
2020-04-06,"0.1","no3",3.89177280725442,"baseline"
2020-04-06,"0.1","po4",5.68850200330366,"baseline"
2020-04-06,"0.1","chla",0.233512787570863,"baseline"
2020-04-06,"0.1","din",35.6842710009252,"baseline"
2020-04-07,"0.1","wl",11.1107487863984,"baseline"
2020-04-07,"0.1","temp",14.4343070805764,"baseline"
2020-04-07,"0.1","oxy",10.7602377222037,"baseline"
2020-04-07,"0.1","nh4",33.6634773931689,"baseline"
2020-04-07,"0.1","no3",3.84207362304561,"baseline"
2020-04-07,"0.1","po4",5.5806222036512,"baseline"
2020-04-07,"0.1","chla",0.24589443127817,"baseline"
2020-04-07,"0.1","din",37.5055510162145,"baseline"
2020-04-08,"0.1","wl",11.0994644531629,"baseline"
2020-04-08,"0.1","temp",15.5907798965824,"baseline"
2020-04-08,"0.1","oxy",10.6342715119159,"baseline"
2020-04-08,"0.1","nh4",38.1324789622154,"baseline"
2020-04-08,"0.1","no3",4.12719978228626,"baseline"
2020-04-08,"0.1","po4",5.62605818299211,"baseline"
2020-04-08,"0.1","chla",0.256769084113083,"baseline"
2020-04-08,"0.1","din",42.2596787445017,"baseline"
2020-04-09,"0.1","wl",11.1311727735602,"baseline"
2020-04-09,"0.1","temp",15.7971388793455,"baseline"
2020-04-09,"0.1","oxy",10.5966723908917,"baseline"
2020-04-09,"0.1","nh4",37.4696959038583,"baseline"
2020-04-09,"0.1","no3",4.05963093356941,"baseline"
2020-04-09,"0.1","po4",5.46797855761448,"baseline"
2020-04-09,"0.1","chla",0.265824606065679,"baseline"
2020-04-09,"0.1","din",41.5293268374277,"baseline"
2020-04-10,"0.1","wl",11.161296605807,"baseline"
2020-04-10,"0.1","temp",15.6028176302771,"baseline"
2020-04-10,"0.1","oxy",10.4123395457641,"baseline"
2020-04-10,"0.1","nh4",33.8146712370639,"baseline"
2020-04-10,"0.1","no3",3.78905756242808,"baseline"
2020-04-10,"0.1","po4",5.08944970457713,"baseline"
2020-04-10,"0.1","chla",0.279071895020158,"baseline"
2020-04-10,"0.1","din",37.603728799492,"baseline"
2020-04-11,"0.1","wl",11.192448342847,"baseline"
2020-04-11,"0.1","temp",14.2709481288593,"baseline"
2020-04-11,"0.1","oxy",10.4145892427829,"baseline"
2020-04-11,"0.1","nh4",33.0876423610152,"baseline"
2020-04-11,"0.1","no3",3.98170656652302,"baseline"
2020-04-11,"0.1","po4",5.20888595095509,"baseline"
2020-04-11,"0.1","chla",0.462010240525913,"baseline"
2020-04-11,"0.1","din",37.0693489275383,"baseline"
2020-04-12,"0.1","wl",11.2248812213618,"baseline"
2020-04-12,"0.1","temp",14.0619539760735,"baseline"
2020-04-12,"0.1","oxy",10.5020936327225,"baseline"
2020-04-12,"0.1","nh4",33.2399703695259,"baseline"
2020-04-12,"0.1","no3",4.03245280211867,"baseline"
2020-04-12,"0.1","po4",5.21771176656002,"baseline"
2020-04-12,"0.1","chla",0.491317172774358,"baseline"
2020-04-12,"0.1","din",37.2724231716446,"baseline"
2020-04-13,"0.1","wl",11.2622005772315,"baseline"
2020-04-13,"0.1","temp",14.0662420856194,"baseline"
2020-04-13,"0.1","oxy",10.4886702772691,"baseline"
2020-04-13,"0.1","nh4",33.514869113288,"baseline"
2020-04-13,"0.1","no3",4.00722413472622,"baseline"
2020-04-13,"0.1","po4",5.17521574187774,"baseline"
2020-04-13,"0.1","chla",0.503580133890912,"baseline"
2020-04-13,"0.1","din",37.5220932480142,"baseline"
2020-04-14,"0.1","wl",11.3475665341127,"baseline"
2020-04-14,"0.1","temp",15.2201420898799,"baseline"
2020-04-14,"0.1","oxy",10.2248908224666,"baseline"
2020-04-14,"0.1","nh4",32.9219804923122,"baseline"
2020-04-14,"0.1","no3",3.86380395030415,"baseline"
2020-04-14,"0.1","po4",5.00174398475445,"baseline"
2020-04-14,"0.1","chla",0.514496956781676,"baseline"
2020-04-14,"0.1","din",36.7857844426163,"baseline"
2020-04-15,"0.1","wl",11.3725787194471,"baseline"
2020-04-15,"0.1","temp",13.0836667041453,"baseline"
2020-04-15,"0.1","oxy",10.2658840205786,"baseline"
2020-04-15,"0.1","nh4",26.9901827735381,"baseline"
2020-04-15,"0.1","no3",4.4882465643199,"baseline"
2020-04-15,"0.1","po4",5.51072249774225,"baseline"
2020-04-15,"0.1","chla",0.535217107464555,"baseline"
2020-04-15,"0.1","din",31.478429337858,"baseline"
2020-04-16,"0.1","wl",11.4029975986012,"baseline"
2020-04-16,"0.1","temp",12.3556573051328,"baseline"
2020-04-16,"0.1","oxy",10.4030946646444,"baseline"
2020-04-16,"0.1","nh4",24.3722260702649,"baseline"
