"dateTime","PRESsfc_110_SFC","PRESsfc_110_SFC.1","PRESsfc_110_SFC.2","PRESsfc_110_SFC.3"
2020-05-31 17:00:00,97998.9765625,97245.703125,97453.703125,98334.34375
2020-05-31 18:00:00,97968.8515625,97219.40625,97425.4921875,98306.1328125
2020-05-31 19:00:00,97926.7109375,97168.953125,97371.1875,98248.6328125
2020-05-31 20:00:00,97883.9375,97119.1171875,97316.8984375,98191.1171875
2020-05-31 21:00:00,97841.796875,97069.296875,97262.6015625,98133.6171875
2020-05-31 22:00:00,97898.140625,97127.578125,97328.5390625,98202.140625
2020-05-31 23:00:00,97955.0390625,97185.7578125,97394.3984375,98271.203125
2020-06-01 00:00:00,98011.296875,97243.9375,97460.8984375,98339.6171875
2020-06-01 01:00:00,98049,97259.8828125,97488.359375,98354.921875
2020-06-01 02:00:00,98086.6015625,97275.71875,97515.71875,98370.7578125
2020-06-01 03:00:00,98124.1015625,97290.8203125,97543.6171875,98386.5
2020-06-01 04:00:00,98144.7421875,97317.21875,97567.4609375,98420.578125
2020-06-01 05:00:00,98165.4765625,97343.078125,97590.7578125,98454.7578125
2020-06-01 06:00:00,98186.1171875,97369.4765625,97614.6015625,98488.84375
2020-06-01 07:00:00,98244.1015625,97425.5390625,97664.2578125,98545.5390625
2020-06-01 08:00:00,98302.7265625,97482.2265625,97713.90625,98601.609375
2020-06-01 09:00:00,98360.6015625,97538.84375,97763.4765625,98658.203125
2020-06-01 10:00:00,98448.3671875,97640.046875,97865.328125,98764.53125
2020-06-01 11:00:00,98536.0234375,97741.140625,97967.0625,98870.1015625
2020-06-01 12:00:00,98623.78125,97842.34375,98068.8984375,98976.421875
2020-06-01 13:00:00,98613.40625,97833.2265625,98050.8515625,98955.171875
2020-06-01 14:00:00,98602.8203125,97824.578125,98032.578125,98934.9765625
2020-06-01 15:00:00,98592.0390625,97815.71875,98014.1171875,98913.9609375
2020-06-01 16:00:00,98524.703125,97761.1796875,97960.859375,98864.5390625
2020-06-01 17:00:00,98456.6171875,97706.5390625,97906.859375,98814.3828125
2020-06-01 18:00:00,98389.078125,97652.4375,97853.3984375,98764.7578125
2020-06-01 19:00:00,98349.4765625,97606.4375,97810.6015625,98711.71875
2020-06-01 20:00:00,98310.5234375,97560.4375,97767.796875,98658.6796875
2020-06-01 21:00:00,98270.921875,97515.078125,97725,98605
2020-06-01 22:00:00,98238.640625,97478.9609375,97690.796875,98570.796875
2020-06-01 23:00:00,98206.359375,97442.84375,97657.2421875,98536.6015625
2020-06-02 00:00:00,98173.4375,97406.71875,97623.0390625,98502.3984375
2020-06-02 01:00:00,98194.9609375,97426.3203125,97644.5625,98533.5234375
2020-06-02 02:00:00,98216.921875,97446.359375,97666.5234375,98564.4375
2020-06-02 03:00:00,98238.0390625,97466.203125,97688.28125,98595.796875
2020-06-02 04:00:00,98220.3203125,97433.7578125,97663.5234375,98560.15625
2020-06-02 05:00:00,98201.96875,97401.328125,97638.7734375,98523.890625
2020-06-02 06:00:00,98183.5,97368.78125,97613.8984375,98488.140625
2020-06-02 07:00:00,98141.1328125,97325.7734375,97570.890625,98445.1328125
2020-06-02 08:00:00,98098.7265625,97282.7265625,97528.5078125,98402.7265625
2020-06-02 09:00:00,98056.359375,97239.71875,97485.4765625,98360.359375
2020-06-02 10:00:00,98082.859375,97275.15625,97515.796875,98391.34375
2020-06-02 11:00:00,98109.8671875,97310.5078125,97546.671875,98422.828125
2020-06-02 12:00:00,98136.9765625,97345.9375,97576.9765625,98454.421875
2020-06-02 13:00:00,98054.9609375,97284.3984375,97512.2421875,98394.15625
2020-06-02 14:00:00,97973.3828125,97223.296875,97447.296875,98334.34375
2020-06-02 15:00:00,97891.5,97162.5390625,97382.703125,98274.21875
