DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4.1,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-20 10:27:31,5,5,1.2,0.001,0.001,0.001,1.15,120.937189510677
2021-04-20 10:27:05,1e-04,1e-04,0.9,0.001,300,100,1.15,125.491285798953
2021-04-20 10:26:39,1e-04,5,1.2,0.001,0.001,100,1.15,120.926481946671
2021-04-20 10:26:13,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:25:47,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:25:22,5,1e-04,0.9,0.001,300,100,0.85,121.014147284037
2021-04-20 10:24:57,1e-04,5,1.2,300,0.001,0.001,1.15,120.602380168273
2021-04-20 10:24:31,1e-04,5,0.9,300,0.001,100,1.15,1152.20531890886
2021-04-20 10:24:05,1e-04,4.7620261805952,1.2,0.001,0.001,0.001,1.15,120.926245524813
2021-04-20 10:23:39,1e-04,5,0.9,300,300,0.001,0.85,228.664777809883
2021-04-20 10:23:07,1e-04,5,0.9,300,300,100,0.85,34973.5063255194
2021-04-20 10:22:43,1e-04,1e-04,0.9,300,0.001,0.001,1.15,120.620803262523
2021-04-20 10:22:18,1e-04,5,0.9,0.001,0.001,0.001,1.15,120.930503411722
2021-04-20 10:21:53,1e-04,1e-04,1.2,0.001,0.001,100,0.85,120.841374358009
2021-04-20 10:21:27,5,1e-04,0.9,0.001,0.001,0.001,0.85,120.937197335402
2021-04-20 10:21:01,1e-04,5,1.2,0.001,300,100,1.15,119.64674952467
2021-04-20 10:20:35,5,1e-04,0.9,0.001,0.001,100,0.85,120.937010471389
2021-04-20 10:20:09,5,1e-04,1.2,300,0.001,0.001,0.85,17747.2770466696
2021-04-20 10:19:43,5,1e-04,1.2,300,0.001,100,1.15,84.3798762339957
2021-04-20 10:19:18,1e-04,1e-04,0.9,300,0.001,0.001,0.85,223.833810104712
2021-04-20 10:18:52,1e-04,1e-04,0.9,0.001,0.001,0.001,1.15,120.927415370796
2021-04-20 10:18:26,1e-04,5,1.2,0.001,0.001,0.001,0.85,120.929689650886
2021-04-20 10:18:00,1e-04,1e-04,0.9,0.001,300,0.001,1.15,120.93153986421
2021-04-20 10:17:35,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 10:17:08,1e-04,5,0.9,300,0.001,100,1.15,1152.20531890886
2021-04-20 10:16:42,5,5,0.9,0.001,300,0.001,1.15,120.93719652069
2021-04-20 10:16:17,1e-04,1e-04,1.2,300,0.001,0.001,1.15,120.608780322061
2021-04-20 10:15:51,1e-04,5,0.9,300,0.001,100,1.15,1152.20531890886
2021-04-20 10:15:25,5,5,0.9,0.001,300,100,1.15,136.486423387757
2021-04-20 10:15:00,1e-04,1e-04,1.2,300,300,0.001,1.15,120.604870138377
2021-04-20 10:14:34,1e-04,5,0.9,0.001,0.001,100,0.85,120.841864814641
2021-04-20 10:14:07,5,5,1.2,0.001,300,0.001,1.15,120.93719214324
2021-04-20 10:13:42,5,1e-04,1.2,300,300,0.001,1.15,120.924871864473
