DateTime,Depth,surface_height
7/24/2016,11.2,11.2
7/25/2016,11.2,11.2
7/26/2016,11.2,11.2
7/27/2016,11.2,11.2
7/28/2016,11.2,11.2
7/29/2016,11.2,11.2
7/30/2016,11.2,11.2
7/31/2016,11.2,11.2
8/1/2016,11.2,11.2
8/2/2016,11.2,11.2
8/3/2016,11.2,11.2
8/4/2016,11.3,11.3
8/5/2016,11.3,11.3
8/6/2016,11.3,11.3
8/7/2016,11.3,11.3
8/8/2016,11.3,11.3
8/9/2016,11.3,11.3
8/10/2016,11.3,11.3
8/11/2016,11.3,11.3
8/12/2016,11.3,11.3
8/13/2016,11.3,11.3
8/14/2016,11.3,11.3
8/15/2016,11.3,11.3
8/16/2016,11.3,11.3
8/17/2016,11.3,11.3
8/18/2016,11.3,11.3
8/19/2016,11.2,11.2
8/20/2016,11.2,11.2
8/21/2016,11.2,11.2
8/22/2016,11.2,11.2
8/23/2016,11.2,11.2
8/24/2016,11.2,11.2
8/25/2016,11.2,11.2
8/26/2016,11.2,11.2
8/27/2016,11.2,11.2
8/28/2016,11.2,11.2
8/29/2016,11.2,11.2
8/30/2016,11.3,11.3
8/31/2016,11.3,11.3
9/1/2016,11.3,11.3
9/2/2016,11.3,11.3
9/3/2016,11.3,11.3
9/4/2016,11.3,11.3
9/5/2016,11.3,11.3
9/6/2016,11.3,11.3
9/7/2016,11.3,11.3
9/8/2016,11.4,11.4
9/9/2016,11.4,11.4
9/10/2016,11.4,11.4
9/11/2016,11.4,11.4
9/12/2016,11.4,11.4
9/13/2016,11.4,11.4
9/14/2016,11.4,11.4
9/15/2016,11.4,11.4
9/16/2016,11.4,11.4
9/17/2016,11.5,11.5
9/18/2016,11.5,11.5
9/19/2016,11.5,11.5
9/20/2016,11.5,11.5
9/21/2016,11.5,11.5
9/22/2016,11.5,11.5
9/23/2016,11.5,11.5
9/24/2016,11.5,11.5
9/25/2016,11.5,11.5
9/26/2016,11.6,11.6
9/27/2016,11.6,11.6
9/28/2016,11.6,11.6
9/29/2016,11.6,11.6
9/30/2016,11.6,11.6
10/1/2016,11.6,11.6
10/2/2016,11.6,11.6
10/3/2016,11.6,11.6
10/4/2016,11.7,11.7
10/5/2016,11.7,11.7
10/6/2016,11.7,11.7
10/7/2016,11.8,11.8
10/8/2016,11.8,11.8
10/9/2016,11.8,11.8
10/10/2016,11.9,11.9
10/11/2016,11.9,11.9
10/12/2016,12,12
10/13/2016,12,12
10/14/2016,12,12
10/15/2016,12,12
10/16/2016,12,12
10/17/2016,12,12
10/18/2016,12,12
10/19/2016,12,12
10/20/2016,12,12
10/21/2016,12,12
10/22/2016,11.9,11.9
10/23/2016,11.9,11.9
10/24/2016,11.8,11.8
10/25/2016,11.8,11.8
10/26/2016,11.7,11.7
10/27/2016,11.7,11.7
10/28/2016,11.7,11.7
10/29/2016,11.6,11.6
10/30/2016,11.6,11.6
10/31/2016,11.6,11.6
11/1/2016,11.6,11.6
11/2/2016,11.6,11.6
11/3/2016,11.5,11.5
11/4/2016,11.5,11.5
