DateTime,Depth,PHY_tchla
2018-08-24,6,2.3211
2018-08-24,7,1.9005
2018-08-24,8,1.7469
2018-08-24,9,1.8925
2018-08-24,10,1.9005
2018-08-24,11,1.9733
2018-09-07,0.1,1.6976
2018-09-07,1,1.7977
2018-09-07,2,2.7828
2018-09-07,3,5.7724
2018-09-07,4,4.4023
2018-09-07,5,6.3625
2018-09-07,6,3.9394
2018-09-07,7,2.147
2018-09-07,8,2.0184
2018-09-07,9,2.0156
2018-09-07,10,2.0848
2018-09-07,11,2.0848
2018-09-21,0.1,2.9802
2018-09-21,1,4.8888
2018-09-21,2,6.4658
2018-09-21,3,8.1439
2018-09-21,4,4.3186
2018-09-21,5,7.5333
2018-09-21,6,4.3955
2018-09-21,7,1.4962
2018-09-21,8,1.2212
2018-09-21,9,1.3142
2018-09-21,10,1.5002
2018-09-21,11,1.4881
2018-10-05,0.1,1.755
2018-10-05,1,2.2766
2018-10-05,2,4.448
2018-10-05,3,9.9757
2018-10-05,4,8.6292
2018-10-05,5,8.1156
2018-10-05,6,3.518
2018-10-05,7,1.7995
2018-10-05,8,1.112
2018-10-05,9,0.922
2018-10-05,10,0.9786
2018-10-05,11,1.29
2018-10-19,0.1,1.6862
2018-10-19,1,3.3441
2018-10-19,2,4.3591
2018-10-19,3,4.5896
2018-10-19,4,3.4007
2018-10-19,5,4.2297
2018-10-19,6,2.7376
2018-10-19,7,2.2321
2018-10-19,8,1.8358
2018-10-19,9,1.4477
2018-10-19,10,1.6377
2018-10-19,11,1.6377
2018-11-02,0.1,3.1087
2018-11-02,1,3.2696
2018-11-02,2,3.0587
2018-11-02,3,2.508
2018-11-02,4,2.2756
2018-11-02,5,1.9213
2018-11-02,6,2.319
2018-11-02,7,1.9459
2018-11-02,8,1.9371
2018-11-02,9,2.6531
2018-11-02,10,3.0884
2018-11-02,11,3.7312
2018-11-16,0.1,0.4327
2018-11-16,1,0.6511
2018-11-16,2,0.926
2018-11-16,3,0.9341
2018-11-16,4,0.9705
2018-11-16,5,0.9867
2018-11-16,6,1.0029
2018-11-16,7,0.8775
2018-11-16,8,1.1606
2018-11-16,9,1.015
2018-11-16,10,0.9462
2018-11-16,11,1.0635
2018-12-06,0.1,0.5419
2018-12-06,1,0.7238
2018-12-06,2,1.6175
2018-12-06,3,2.0542
2018-12-06,4,2.1108
2018-12-06,5,2.3615
2018-12-06,6,2.3494
2018-12-06,7,2.0663
2018-12-06,8,2.0623
2018-12-06,9,2.0825
2018-12-06,10,2.1472
2018-12-06,11,2.1027
2019-06-13,0.1,0.3186
2019-06-13,1,0.6941
2019-06-13,2,0.8404
2019-06-13,3,0.8541
2019-06-13,4,4.0888
2019-06-13,5,5.2442
2019-06-13,6,3.0944
2019-06-13,7,4.1894
2019-06-13,8,2.6611
2019-06-13,9,2.186
2019-06-13,10,1.8839
2019-06-13,11,1.5763
2019-06-20,0.1,0.6169
2019-06-20,1,0.5512
2019-06-20,2,0.7142
2019-06-20,3,0.9683
2019-06-20,4,1.5078
2019-06-20,5,7.9917
2019-06-20,6,8.5556
2019-06-20,7,3.3441
2019-06-20,8,1.804
2019-06-20,9,1.5388
2019-06-20,10,1.4726
2019-06-20,11,1.5231
2019-06-27,0.1,0.2754
2019-06-27,1,0.375
2019-06-27,2,0.6653
2019-06-27,3,0.7708
2019-06-27,4,1.7183
2019-06-27,5,1.5617
2019-06-27,6,2.3479
2019-06-27,7,15.0811
2019-06-27,8,1.798
2019-06-27,9,1.5455
2019-06-27,10,1.7342
2019-06-27,11,1.9099
2019-07-03,0.1,0.5836
2019-07-03,1,0.5317
2019-07-03,2,0.707
2019-07-03,3,0.7432
2019-07-03,4,1.899
2019-07-03,5,0.7496
2019-07-03,6,0.7077
2019-07-03,7,7.7942
2019-07-03,8,2.3697
2019-07-03,9,1.6445
2019-07-03,10,1.8699
2019-07-03,11,1.8945
2019-07-10,1,0.7596
2019-07-10,2,0.9541
2019-07-10,3,0.8969
2019-07-10,4,1.946
2019-07-10,5,1.74
2019-07-10,6,6.6915
2019-07-10,7,4.3836
2019-07-10,8,1.9956
2019-07-10,9,0.9885
2019-07-10,10,1.1564
2019-07-10,11,1.244
2019-07-11,0.1,0.7367
2019-07-11,1,0.7519
2019-07-11,2,1.0266
2019-07-11,3,0.9351
2019-07-11,4,1.7629
2019-07-11,5,1.6332
2019-07-11,6,10.0218
2019-07-11,7,3.5978
2019-07-11,8,1.7705
2019-07-11,9,1.4043
2019-07-11,10,1.0609
2019-07-11,11,0.8969
2019-07-24,0.1,1.4058
2019-07-24,1,1.8049
2019-07-24,2,2.6809
2019-07-24,3,2.5033
2019-07-24,4,2.4244
2019-07-24,5,11.3564
2019-07-24,6,12.9523
2019-07-24,7,1.774
2019-07-24,8,0.6091
2019-07-24,9,0.6203
2019-07-24,10,0.5205
2019-07-24,11,0.5755
2019-07-25,0.1,1.9836
2019-07-25,1,1.657
2019-07-25,2,2.4101
2019-07-25,3,1.9921
2019-07-25,4,6.2348
2019-07-25,5,12.2786
2019-07-25,6,13.0119
2019-07-25,7,2.7716
2019-07-25,8,0.6255
2019-07-25,9,0.565
2019-07-25,10,0.7251
2019-07-25,11,0.5879
2019-08-01,0.1,1.2045
2019-08-01,1,1.4902
2019-08-01,2,2.1938
2019-08-01,3,2.4512
2019-08-01,4,5.3795
2019-08-01,5,5.365
2019-08-01,6,8.3629
2019-08-01,7,3.34
2019-08-01,8,1.2898
2019-08-01,9,0.8356
2019-08-01,10,1.1545
2019-08-01,11,0.8269
2019-08-08,0.1,2.017
2019-08-08,2,2.7013
2019-08-08,3,2.9843
2019-08-08,4,3.347
2019-08-08,5,22.8245
2019-08-08,6,4.9994
2019-08-08,7,2.1421
2019-08-08,8,1.3556
2019-08-08,9,1.0131
2019-08-08,10,0.7095
2019-08-08,11,0.7326
2019-08-14,0.1,1.3484
2019-08-14,1,2.0395
2019-08-14,2,2.6316
2019-08-14,3,2.886
2019-08-14,4,17.6606
2019-08-14,5,28.3805
2019-08-14,6,3.355
2019-08-14,7,2.2582
2019-08-14,8,1.5894
2019-08-14,9,0.9644
2019-08-14,10,0.8123
2019-08-14,11,0.9003
2019-08-22,0.1,2.022
2019-08-22,1,2.0993
2019-08-22,2,2.4743
2019-08-22,3,7.0667
2019-08-22,4,5.7495
2019-08-22,5,16.0597
2019-08-22,6,5.0095
2019-08-22,7,3.6954
2019-08-22,8,2.0959
2019-08-22,9,1.6131
2019-08-22,10,1.5503
2019-08-22,11,1.6091
2019-09-04,0.1,1.1804
2019-09-04,1,2.2265
2019-09-04,2,3.4754
2019-09-04,3,7.2586
2019-09-04,4,5.1028
2019-09-04,5,27.0009
2019-09-04,6,4.7319
2019-09-04,7,4.4848
2019-09-04,8,1.4803
2019-09-04,9,1.3038
2019-09-04,10,1.1965
2019-09-04,11,1.4145
2019-09-20,0.1,2.3498
2019-09-20,1,3.1899
2019-09-20,2,4.8964
2019-09-20,3,5.1047
2019-09-20,4,6.2071
2019-09-20,5,30.0381
2019-09-20,6,2.7589
2019-09-20,7,3.4311
2019-09-20,8,1.8256
2019-09-20,9,1.4893
2019-09-20,10,1.4889
2019-09-20,11,1.2967
2019-10-04,0.1,1.6561
2019-10-04,1,2.4009
2019-10-04,2,3.9505
2019-10-04,3,5.2222
2019-10-04,4,4.4109
2019-10-04,5,2.7957
2019-10-04,6,2.7231
2019-10-04,7,3.5895
2019-10-04,8,1.7656
2019-10-04,9,1.5689
2019-10-04,10,1.3227
2019-10-04,11,1.3215
2019-10-07,3,7.0559
2019-10-07,4,4.9028
2019-10-07,5,5.2232
2019-10-07,6,2.407
2019-10-07,7,2.8298
2019-10-07,8,1.7599
2019-10-07,9,1.3987
2019-10-07,10,1.4535
2019-10-07,11,1.4535
2019-10-18,0.1,2.4129
2019-10-18,1,3.5225
2019-10-18,2,5.533
2019-10-18,3,5.8931
2019-10-18,4,5.8293
2019-10-18,5,5.6311
2019-10-18,6,5.9551
2019-10-18,7,5.6308
2019-10-18,8,1.6297
2019-10-18,9,1.4793
2019-10-18,10,1.4506
2019-10-18,11,1.4506
2019-10-28,0.1,3.3382
2019-10-28,2,4.9084
2019-10-28,3,4.4483
2019-10-28,4,5.0755
2019-10-28,5,4.1979
2019-10-28,6,2.6868
2019-10-28,7,1.5977
2019-10-28,8,1.4146
2019-10-28,9,1.9428
2019-10-28,10,2.343
2019-10-28,11,2.343
2019-11-15,0.1,3.0043
2019-11-15,1,4.9718
2019-11-15,2,5.8381
2019-11-15,3,5.9036
2019-11-15,4,7.1393
2019-11-15,5,6.9509
2019-11-15,6,5.6656
2019-11-15,7,6.9423
2019-11-15,8,6.8158
2019-11-15,9,5.8216
2019-11-15,10,6.1902
2019-11-15,11,6.1902
2019-12-06,0.1,2.7717
2019-12-06,1,4.978
2019-12-06,2,5.1056
2019-12-06,3,5.2667
2019-12-06,4,5.4881
2019-12-06,5,5.603
2019-12-06,6,5.6205
2019-12-06,7,5.3532
2019-12-06,8,5.4511
2019-12-06,9,5.4559
2019-12-06,10,5.9129
2019-12-06,11,5.9129
